"Rank","Player","Team","Points","Games","Avg"
"212","Kamar Aiken","FA","0.0","1","0.0"
"212","Keon Hatcher","Multi","0.0","1","0.0"
"212","Kelvin Benjamin","FA","0.0","1","0.0"
"212","JoJo Natson","LAR","0.0","12","0.0"
"212","Cam Phillips","FA","0.0","1","0.0"
"212","Marcus Kemp","KC","0.0","1","0.0"
"212","Equanimeous St. Brown","GB","0.0","1","0.0"
"212","Leonte Carroo","FA","0.0","1","0.0"
"212","Andre Holmes","FA","0.0","1","0.0"
"212","Matthew Slater","NE","0.0","16","0.0"
"212","Max McCaffrey","FA","0.0","1","0.0"
"212","Brian Quick","FA","0.0","1","0.0"
"212","Justin Hunter","FA","0.0","1","0.0"
"212","Tony Jones","FA","0.0","1","0.0"
"212","Martavis Bryant","FA","0.0","1","0.0"
"212","Doug Baldwin","FA","0.0","1","0.0"
"212","Mose Frazier","FA","0.0","1","0.0"
"212","J.J. Jones","FA","0.0","1","0.0"
"212","Rod Streater","FA","0.0","1","0.0"
"212","Darvin Kidsy","WAS","0.0","4","0.0"
"212","A.J. Green","CIN","0.0","1","0.0"
"212","J'Mon Moore","CLE","0.0","1","0.0"
"212","Kaelin Clay","FA","0.0","1","0.0"
"212","Josh Malone","NYJ","0.0","3","0.0"
"212","Andy Jones","MIA","0.0","1","0.0"
"212","Darrius Heyward-Bey","FA","0.0","1","0.0"
"212","James Jones","FA","0.0","1","0.0"
"212","Torrey Smith","FA","0.0","1","0.0"
"212","Pierre Garcon","FA","0.0","1","0.0"
"212","Riley McCarron","FA","0.0","1","0.0"
"212","Jeremy Ross","FA","0.0","1","0.0"
"212","Keenan Reynolds","FA","0.0","1","0.0"
"212","Mike Wallace","FA","0.0","1","0.0"
"212","Eli Rogers","FA","0.0","1","0.0"
"212","Brandon Marshall","FA","0.0","1","0.0"
"212","Derrick Willies","CLE","0.0","1","0.0"
"212","Deonte Thompson","FA","0.0","1","0.0"
"212","Trenton Irwin","CIN","0.0","1","0.0"
"288","Michael Walker","JAC","-0.5","7","-0.1"
"289","Darrius Shepherd","GB","-0.9","6","-0.2"
"290","Quincy Enunwa","NYJ","-1.4","1","-1.4"
"291","Greg Dortch","Multi","-2.0","2","-1.0"
"291","Ray-Ray McCloud","Multi","-2.0","6","-0.3"
""
""
