"Rank","Player","Team","Position","Points","Games","Avg"
"463","Cyrus Gray","KC","RB","10.1","15","0.7"
"464","Matt Simms","NYJ","QB","10.0","3","3.3"
"465","Dan Herron","IND","RB","10.0","6","1.7"
"465","Virgil Green","DEN","TE","10.0","15","0.7"
"465","Mike Goodson","NYJ","RB","10.0","2","5.0"
"465","Derek Moye","PIT","WR","10.0","6","1.7"
"469","Jerome Felton","MIN","RB","9.7","12","0.8"
"469","Tony Fiammetta","CHI","RB","9.7","15","0.7"
"471","Matthew Mulligan","NE","TE","9.6","14","0.7"
"471","Pat Edwards","DET","WR","9.6","4","2.4"
"471","Zach Sudfeld","Multi","TE","9.6","13","0.7"
"471","Josh Cribbs","NYJ","WR","9.6","6","1.6"
"475","Collin Mooney","TEN","RB","9.2","12","0.8"
"476","John Conner","NYG","RB","9.1","12","0.8"
"477","Niles Paul","WAS","TE","9.1","14","0.7"
"478","Ryan Taylor","GB","TE","9.0","13","0.7"
"478","Allen Reisner","JAC","TE","9.0","5","1.8"
"478","Dwayne Allen","IND","TE","9.0","1","9.0"
"481","Jeremy Stewart","LV","RB","8.8","12","0.7"
"482","Marlon Moore","Multi","WR","8.6","13","0.7"
"483","Alex Smith","CIN","TE","8.5","15","0.6"
"483","Michael Cox","NYG","RB","8.5","13","0.7"
"483","Travaris Cadet","NO","RB","8.5","13","0.7"
"486","Joe Webb III","MIN","QB","8.3","15","0.6"
"487","Eric Page","TB","WR","8.2","15","0.6"
"488","Matt Spaeth","PIT","TE","8.1","3","2.7"
"489","Shayne Graham","NO","K","8.0","1","8.0"
"490","Christine Michael","SEA","RB","7.9","4","2.0"
"491","Taiwan Jones","LV","RB","7.8","15","0.5"
"492","Lestar Jean","HOU","WR","7.5","12","0.6"
"493","LaMichael James","SF","RB","7.3","9","0.8"
"494","Greg Jones","HOU","RB","7.0","15","0.5"
"494","John Phillips","LAC","TE","7.0","15","0.5"
"496","Nate Byham","TB","TE","6.8","4","1.7"
"496","Vick Ballard","IND","RB","6.8","1","6.8"
"498","MarQueis Gray","CLE","TE","6.7","11","0.6"
"499","Kevin Brock","KC","TE","6.6","4","1.7"
"499","Josh Cooper","CLE","WR","6.6","4","1.7"
"499","Isaac Redman","PIT","RB","6.6","3","2.2"
"502","Jeff Demps","TB","RB","6.5","2","3.3"
"502","Nick Williams","WAS","WR","6.5","4","1.6"
"504","Alex Green","NYJ","RB","6.3","12","0.5"
"505","Juron Criner","LV","WR","6.2","1","6.2"
"506","James Casey","PHI","TE","6.1","14","0.4"
"507","Tyrod Taylor","BAL","QB","6.1","3","2.0"
"507","Larry Donnell","NYG","TE","6.1","15","0.4"
"509","Deji Karim","HOU","RB","6.0","7","0.9"
"510","Weslye Saunders","IND","TE","5.8","5","1.2"
"511","Jon Baldwin","SF","WR","5.8","7","0.8"
"511","Garrett Celek","SF","TE","5.8","11","0.5"
"513","Jack Doyle","IND","TE","5.7","14","0.4"
"514","Dominique Jones","Multi","TE","5.4","8","0.7"
"514","Dorin Dickerson","DET","TE","5.4","5","1.1"
"516","LaRod Stephens-Howling","PIT","RB","5.0","1","5.0"
"517","Bradie Ewing","ATL","RB","4.9","2","2.5"
"518","Brad Smith","PHI","WR","4.9","5","1.0"
"519","Jeremy Ebert","JAC","WR","4.8","5","1.0"
"520","Michael Robinson","SEA","RB","4.7","8","0.6"
"520","Skye Dawson","TB","WR","4.7","7","0.7"
"522","Le'Ron McClain","LAC","RB","4.2","15","0.3"
"523","Chad Hall","KC","WR","4.0","9","0.4"
"524","C.J. Anderson","DEN","RB","3.8","5","0.8"
"525","Billy Bajema","BAL","TE","3.8","6","0.6"
"526","Seneca Wallace","GB","QB","3.6","2","1.8"
"527","Kenjon Barner","CAR","RB","3.4","7","0.5"
"527","Dominique Davis","ATL","QB","3.4","1","3.4"
"529","Marcus Easley","BUF","WR","3.3","15","0.2"
"530","Brian Tyms","CLE","WR","3.2","6","0.5"
"531","Kassim Osgood","SF","WR","2.7","13","0.2"
"531","Percy Harvin","SEA","WR","2.7","1","2.7"
"533","Kory Sperry","ARI","TE","2.6","8","0.3"
"533","Denard Robinson","JAC","RB","2.6","15","0.2"
"535","Tori Gurley","CLE","WR","2.5","3","0.8"
"535","Craig Stevens","TEN","TE","2.5","14","0.2"
"537","Jonathan Grimes","HOU","RB","2.3","1","2.3"
"537","Dante Rosario","CHI","TE","2.3","14","0.2"
"537","Lamaar Thomas","JAC","WR","2.3","1","2.3"
"537","Bernard Scott","BAL","RB","2.3","1","2.3"
"541","Kevin Cone","ATL","WR","2.2","15","0.2"
"541","Visanthe Shiancoe","TEN","TE","2.2","1","2.2"
"543","Matt Hasselbeck","IND","QB","2.1","2","1.1"
"543","Mike Gillislee","MIA","RB","2.1","3","0.7"
"543","Joe Banyard","MIN","RB","2.1","2","1.1"
"546","Michael Hill","Multi","RB","2.0","7","0.3"
"546","Armanti Edwards","Multi","WR","2.0","6","0.3"
"546","Josh Johnson","CIN","QB","2.0","2","1.0"
"549","Ben Obomanu","NYJ","WR","1.8","3","0.6"
"549","Zach Line","MIN","RB","1.8","3","0.6"
"549","Eric Weems","CHI","WR","1.8","15","0.1"
"549","Michael Palmer","PIT","TE","1.8","15","0.1"
"553","Matt Barkley","PHI","QB","1.8","3","0.6"
"554","Cedric Peerman","CIN","RB","1.7","15","0.1"
"555","Konrad Reuland","NYJ","TE","1.7","10","0.2"
