"Rank","Player","Team","Position","Points","Games","Avg"
"498","Colt McCoy","CLE","QB","8.7","3","2.9"
"499","Greg Camarillo","NO","WR","8.4","1","8.4"
"500","Cyrus Gray","KC","RB","8.2","10","0.8"
"501","Charly Martin","SEA","WR","8.2","4","2.1"
"501","Arrelious Benn","TB","WR","8.2","8","1.0"
"503","Deonte Thompson","BAL","WR","8.1","6","1.4"
"503","Ruvell Martin","BUF","WR","8.1","14","0.6"
"505","Kyle Adams","CHI","TE","8.0","15","0.5"
"505","Isaiah Pead","LAR","RB","8.0","15","0.5"
"507","Travaris Cadet","NO","RB","7.9","13","0.6"
"508","Jarrett Boykin","GB","WR","7.7","10","0.8"
"509","Seyi Ajirotutu","LAC","WR","7.5","3","2.5"
"510","Toney Clemons","JAC","WR","7.1","4","1.8"
"511","Chris Pressley","CIN","RB","7.1","14","0.5"
"511","Mike McNeill","LAR","TE","7.1","14","0.5"
"513","Olindo Mare","CHI","K","7.0","3","2.3"
"514","Stefan Logan","DET","RB","6.5","16","0.4"
"514","Jerome Felton","MIN","RB","6.5","16","0.4"
"516","Evan Rodriguez","CHI","RB","6.1","12","0.5"
"516","Jermaine Kearse","SEA","WR","6.1","7","0.9"
"518","Jerrel Jernigan","NYG","WR","5.8","9","0.6"
"519","Javon Ringer","TEN","RB","5.6","2","2.8"
"520","Mike Cox","ATL","RB","5.2","8","0.7"
"520","Taiwan Jones","LV","RB","5.2","14","0.4"
"522","David Nelson","BUF","WR","5.1","1","5.1"
"523","Ben Hartsock","CAR","TE","5.0","15","0.3"
"524","Jake O'Connell","KC","TE","4.8","2","2.4"
"525","Nate Eachus","KC","RB","4.7","3","1.6"
"526","Eric Weems","CHI","WR","4.7","16","0.3"
"527","Kris Adams","IND","WR","4.6","3","1.5"
"528","Dezmon Briscoe","WAS","WR","4.3","7","0.6"
"529","Anthony Armstrong","Multi","WR","4.2","6","0.7"
"530","Andre Caldwell","DEN","WR","4.2","8","0.5"
"531","Alfonso Smith","ARI","RB","4.1","11","0.4"
"532","Weslye Saunders","IND","TE","3.5","11","0.3"
"532","Bernard Scott","CIN","RB","3.5","2","1.8"
"532","Mardy Gilyard","Multi","WR","3.5","8","0.4"
"532","Jim Dray","ARI","TE","3.5","13","0.3"
"536","Johnny White","Multi","RB","3.4","3","1.1"
"537","Chris Owusu","TB","WR","3.4","5","0.7"
"538","T.J. Yates","HOU","QB","3.4","4","0.9"
"539","Jonathan Grimes","Multi","RB","3.3","9","0.4"
"540","Keiland Williams","Multi","RB","3.2","14","0.2"
"541","Cory Harkey","LAR","TE","3.1","5","0.6"
"542","Andre Holmes","DAL","WR","3.1","7","0.4"
"543","Matt Leinart","LV","QB","2.6","2","1.3"
"543","Hayden Smith","NYJ","TE","2.6","5","0.5"
"545","Zach Potter","JAC","TE","2.6","16","0.2"
"546","Bruce Gradkowski","CIN","QB","2.4","2","1.2"
"546","Sammie Stroughter","TB","WR","2.4","2","1.2"
"548","Jordan White","NYJ","WR","2.3","3","0.8"
"548","Allen Reisner","MIN","TE","2.3","4","0.6"
"548","Derek Anderson","CAR","QB","2.3","2","1.2"
"551","Chase Coffman","ATL","TE","2.2","5","0.4"
"551","Matt Flynn","SEA","QB","2.2","3","0.7"
"551","Kregg Lumpkin","NYG","RB","2.2","5","0.4"
"551","Kellen Winslow","NE","TE","2.2","1","2.2"
"555","Ryan Taylor","GB","TE","2.1","16","0.1"
"555","Matt Asiata","MIN","RB","2.1","16","0.1"
"555","Chris Gronkowski","DEN","RB","2.1","14","0.2"
"555","Chase Daniel","NO","QB","2.1","16","0.1"
"559","Dan Orlovsky","TB","QB","2.0","1","2.0"
"560","Collin Mooney","TEN","RB","1.9","2","1.0"
"560","Courtney Roby","NO","WR","1.9","13","0.2"
"560","Corey McIntyre","BUF","RB","1.9","6","0.3"
"563","Jordan Todman","JAC","RB","1.8","1","1.8"
"563","Robert Hughes","IND","RB","1.8","5","0.4"
"563","Laron Byrd","ARI","WR","1.8","4","0.5"
"563","Chris Cooley","WAS","TE","1.8","3","0.6"
